Level,Type,Location x,Location y,Location z,Y1,Y2,R1,R2,RW1,RW2
1,2,-1.25,1.5,-1.99,0,0,,,,
1,2,1.25,1.5,-1.99,0,0,,,,
1,2,0,0,-1.99,1,2,,,,
1,1,-1.25,1.5,-2,0,0,0,0,,
1,1,1.25,1.5,-2,1,1,0,0,,
1,0,0,-2,-2.5,0,1,0,0,,
2,2,0,1.5,-1.99,0,0,,,,
2,2,-1.5,0,-1.99,1,0,,,,
2,2,0,0,-1.99,1,0,,,,
2,2,1.5,0,-1.99,1,0,,,,
2,1,0,1.5,-2,0,1,0,0,,
2,0,-1.5,-2,-2.5,0,0,0,0,,
2,0,0,-2,-2.5,0,1,0,0,,
2,0,1.5,-2,-2.5,1,1,0,0,,
3,2,-1.25,1.5,-1.99,0,0,,,,
3,2,1.25,1.5,-1.99,0,0,,,,
3,2,0,0,-1.99,1,2,,,,
3,1,-1.25,1.5,-2,0,0,0,0,,
3,0,-0.7,-2,-2.5,0,0,1,1,,
3,0,0.7,-2,-2.5,0,0,0,1,,
4,2,-1.25,1.5,-1.99,0,0,,,,
4,2,1.25,1.5,-1.99,0,0,,,,
4,2,-2,0,-1.99,1,2,,,,
4,2,-0.75,0,-1.99,1,2,,,,
4,2,0.75,0,-1.99,1,2,,,,
4,2,2,0,-1.99,1,2,,,,
4,1,-0.75,0,-2,0,1,0,1,,
4,0,-1.25,-2,-2.5,0,0,0,0,,
4,0,1.25,-2,-2.5,1,1,1,1,,
4,0,-1.5,-3.5,-2.5,0,1,0,1,,
4,0,0,-3.5,-2.5,0,1,0,1,,
4,0,1.5,-3.5,-2.5,0,1,0,1,,
5,2,-1.25,1.5,-1.99,0,0,,,,
5,2,1.25,1.5,-1.99,0,0,,,,
5,2,0,0,-1.99,1,2,,,,
5,1,-1.25,1.5,-2,0,1,0,0,,
5,0,-1.25,-2,-2.5,1,1,0,0,,
5,0,1.25,-2,-2.5,0,1,0,0,,
6,2,-1.25,2.95,-1.99,0,0,,,,
6,2,1.25,2.95,-1.99,0,0,,,,
6,2,0,1.2,-1.99,1,2,,,,
6,2,-2,-0.5,-1.99,3,0,,,,
6,2,-0.75,-0.5,-1.99,3,0,,,,
6,2,0.75,-0.5,-1.99,3,0,,,,
6,2,2,-0.5,-1.99,3,0,,,,
6,1,-1.25,2.95,-2,0,0,0,0,,
6,1,0.75,-0.5,-2,0,0,0,0,,
6,0,-1.25,-2,-2.5,1,1,0,0,,
6,0,1.25,-2,-2.5,0,1,0,0,,
6,0,-1.5,-3.5,-2.5,0,1,0,0,,
6,0,0,-3.5,-2.5,1,1,0,0,,
6,0,1.5,-3.5,-2.5,0,1,0,0,,
7,2,-1.7,2.95,-1.99,0,0,,,,
7,2,0.7,2.95,-1.99,0,0,,,,
7,2,-0.5,1.2,-1.99,1,2,,,,
7,2,1.3,1.2,-1.99,0,0,,,,
7,2,0.3,-0.5,-1.99,3,4,,,,
7,1,-0.5,1.2,-2.5,0,1,0,1,,
7,0,-2,-2,-2.5,0,0,0,0,,
7,0,-0.75,-2,-2.5,1,1,1,1,,
7,0,0.75,-2,-2.5,1,1,0,1,,
7,0,2,-2,-2.5,1,1,0,0,,
8,2,-1.7,2.95,-1.99,0,0,,,,
8,2,0.7,2.95,-1.99,0,0,,,,
8,2,2,2.95,-1.99,0,0,,,,
8,2,-0.5,1.2,-1.99,1,2,,,,
8,2,2,1.2,-1.99,3,0,,,,
8,2,0.8,-0.5,-1.99,4,5,,,,
8,1,2,2.95,-2,0,1,0,1,,
8,1,-0.5,1.2,-2,1,1,0,0,,
8,0,-2,-2,-2.5,0,1,0,0,,
8,0,-0.75,-2,-2.5,1,1,0,1,,
8,0,0.75,-2,-2.5,0,1,0,1,,
8,0,2,-2,-2.5,1,1,1,1,,
9,2,-1.25,2.95,-1.99,0,0,,,,
9,2,1.25,2.95,-1.99,0,0,,,,
9,2,-1.25,1.2,-1.99,1,0,,,,
9,2,1.25,1.2,-1.99,2,0,,,,
9,2,0,-0.5,-1.99,3,4,,,,
9,1,0,-0.5,-2,1,1,0,0,,
9,0,-2,-2,-2.5,0,1,0,1,,
9,0,-0.75,-2,-2.5,0,1,0,9,,
9,0,0.75,-2,-2.5,0,1,0,0,,
9,0,2,-2,-2.5,1,1,0,0,,
10,2,-1.25,2.95,-1.99,0,0,,,,
10,2,-1.25,1.2,-1.99,1,0,,,,
10,2,1.25,1.2,-1.99,0,0,,,,
10,2,0,-0.5,-1.99,2,3,,,,
10,1,-1.25,1.2,-2,0,1,1,1,,
10,0,-1.5,-2,-2.5,0,1,0,1,,
10,0,0,-2,-2.5,0,0,0,1,,
